Date,Price,Open,High,Low,Vol.,Change %
2019-05-09,4.99,5.05,5.05,4.95,2.80M,-1.58%
2019-05-08,5.07,5.08,5.08,5.01,1.96M,-0.59%
2019-05-07,5.10,5.09,5.13,5.08,860.90K,-0.78%
2019-05-06,5.14,5.08,5.15,5.06,626.30K,1.18%
2019-05-03,5.08,5.07,5.12,5.06,1.25M,0.00%
2019-05-02,5.08,5.10,5.13,5.08,398.80K,-1.55%
2019-04-30,5.16,5.08,5.16,5.08,2.86M,0.19%
2019-04-29,5.15,5.10,5.15,5.05,363.00K,0.59%
2019-04-26,5.12,5.15,5.15,5.06,488.90K,0.59%
2019-04-25,5.09,5.09,5.15,5.06,3.81M,0.00%
2019-04-24,5.09,5.12,5.12,5.05,2.16M,0.99%
2019-04-23,5.04,5.09,5.09,5.02,962.50K,-0.40%
2019-04-22,5.06,5.10,5.13,5.04,2.43M,-0.78%
2019-04-19,5.10,5.09,5.11,5.09,367.50K,0.00%
2019-04-18,5.10,5.15,5.15,5.03,5.01M,-0.20%
2019-04-17,5.11,5.11,5.11,5.10,1.58M,-0.39%
2019-04-16,5.13,5.10,5.15,5.07,6.50M,0.59%
2019-04-15,5.10,5.10,5.15,5.09,637.60K,0.00%
2019-04-12,5.10,5.09,5.14,5.05,585.60K,0.99%
2019-04-11,5.05,5.12,5.12,5.03,829.00K,-1.75%
2019-04-10,5.14,5.12,5.15,5.11,880.40K,-0.19%
2019-04-09,5.15,5.17,5.18,5.14,1.59M,-0.39%
2019-04-08,5.17,5.14,5.17,5.10,1.82M,0.39%
2019-04-05,5.15,5.09,5.15,5.09,711.20K,1.98%
2019-04-04,5.05,5.09,5.16,5.05,3.84M,0.00%
2019-04-03,5.05,5.05,5.11,5.04,1.90M,0.60%
2019-04-02,5.02,5.15,5.18,5.01,2.95M,-1.18%
2019-04-01,5.08,5.00,5.10,5.00,3.06M,1.20%
2019-03-29,5.02,5.09,5.10,4.95,1.67M,0.00%
2019-03-28,5.02,5.06,5.09,4.99,2.29M,-1.38%
2019-03-27,5.09,5.06,5.13,5.06,1.43M,0.20%
2019-03-26,5.08,5.05,5.12,5.00,592.30K,0.40%
2019-03-25,5.06,5.03,5.07,4.99,2.41M,-0.20%
2019-03-22,5.07,5.04,5.07,5.01,1.37M,0.20%
2019-03-21,5.06,5.17,5.18,5.05,3.41M,-1.75%
2019-03-20,5.15,5.05,5.16,5.05,938.00K,1.18%
2019-03-19,5.09,5.09,5.10,5.06,996.60K,-0.20%
2019-03-18,5.10,5.05,5.16,5.05,2.13M,0.99%
2019-03-15,5.05,5.08,5.09,5.05,10.17M,-0.39%
2019-03-14,5.07,5.05,5.09,5.05,2.44M,-0.39%
2019-03-13,5.09,5.06,5.10,5.06,2.02M,0.20%
2019-03-12,5.08,5.06,5.09,5.03,1.95M,-0.39%
