datetime,timestamp,location,latitude,longitude,request_status,precipIntensityMax_mmhr,precipIntensitySum_mm,temperatureMax_C,temperatureMin_C,temperatureMean_C,humidityMean,sunshineTime,uvIndex,no_daily,no_hourly
2017-03-09 17:00:00+08:00,1489050000,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.35,24.7,27.10521739130435,0.8691304347826088,6.980000000000002,31.16,,
2017-03-10 17:00:00+08:00,1489136400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,33.5,23.68,28.23954545454545,0.8009090909090908,4.86,18.880000000000006,,
2017-03-11 17:00:00+08:00,1489222800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.61,21.8,26.018695652173914,0.8782608695652177,6.360000000000001,28.430000000000003,,
2017-03-12 17:00:00+08:00,1489309200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,33.5,23.66,28.108636363636364,0.8027272727272727,6.850000000000001,26.840000000000003,,
2017-03-13 17:00:00+08:00,1489395600,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,33.55,24.72,27.823809523809533,0.8238095238095239,4.290000000000001,22.02,,
2017-03-14 17:00:00+08:00,1489482000,Palembang,-2.8408759999999997,104.645884,200.0,,0.0,33.35,21.5,26.93652173913044,0.809565217391304,4.290000000000001,10.35,,
2017-03-15 17:00:00+08:00,1489568400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,33.43,22.79,27.86894736842105,0.7957894736842106,5.110000000000001,16.9,,
2017-03-16 17:00:00+08:00,1489654800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,32.54,24.79,27.939444444444447,0.8261111111111111,6.670000000000003,28.610000000000007,,
2017-03-17 17:00:00+08:00,1489741200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.47,24.31,26.56272727272727,0.8972727272727276,6.670000000000003,27.870000000000005,,
2017-03-18 17:00:00+08:00,1489827600,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.43,22.76,26.52636363636363,0.8554545454545455,8.970000000000002,41.42,,
2017-03-19 17:00:00+08:00,1489914000,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,34.33,22.79,28.529090909090915,0.781818181818182,6.170000000000003,23.06,,
2017-03-20 17:00:00+08:00,1490000400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,29.6,22.68,25.86272727272728,0.8781818181818182,3.93,11.68,,
2017-03-21 17:00:00+08:00,1490086800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,33.35,23.79,28.01681818181818,0.8149999999999998,6.110000000000001,15.6,,
2017-03-22 17:00:00+08:00,1490173200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.49,24.79,27.20727272727273,0.8750000000000001,8.410000000000002,43.99000000000001,,
